log_id,timestamp,user_id,action,details,ip_address
LOG000001,2025-12-29 23:03:34,U0007,Login,"{""status"": ""success"", ""resource_id"": ""RES390""}",192.168.1.206
LOG000002,2025-12-14 11:47:34,U0009,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES199""}",192.168.1.88
LOG000003,2025-12-14 06:22:34,U0008,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES257""}",192.168.1.147
LOG000004,2026-02-01 21:53:34,U0002,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES217""}",192.168.1.7
LOG000005,2025-12-31 20:43:34,U0003,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES821""}",192.168.1.5
LOG000006,2026-02-25 05:27:34,U0007,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES531""}",192.168.1.12
LOG000007,2026-02-16 12:54:34,U0003,Update User,"{""status"": ""success"", ""resource_id"": ""RES994""}",192.168.1.50
LOG000008,2026-02-13 23:47:34,U0002,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES434""}",192.168.1.93
LOG000009,2026-02-22 10:41:34,U0002,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES698""}",192.168.1.223
LOG000010,2026-02-09 04:53:34,U0009,Login,"{""status"": ""success"", ""resource_id"": ""RES980""}",192.168.1.247
LOG000011,2026-02-03 14:27:34,U0001,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES811""}",192.168.1.79
LOG000012,2026-01-24 08:55:34,U0003,Add User,"{""status"": ""success"", ""resource_id"": ""RES654""}",192.168.1.83
LOG000013,2026-02-06 13:56:34,U0004,Add User,"{""status"": ""success"", ""resource_id"": ""RES282""}",192.168.1.139
LOG000014,2025-12-23 02:45:34,U0003,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES632""}",192.168.1.36
LOG000015,2026-01-23 16:26:34,U0004,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES704""}",192.168.1.72
LOG000016,2026-01-07 21:40:34,U0005,Logout,"{""status"": ""success"", ""resource_id"": ""RES996""}",192.168.1.110
LOG000017,2026-01-19 11:49:34,U0004,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES950""}",192.168.1.116
LOG000018,2025-12-23 11:00:34,U0006,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES943""}",192.168.1.138
LOG000019,2025-12-15 21:50:34,U0009,Add User,"{""status"": ""success"", ""resource_id"": ""RES212""}",192.168.1.64
LOG000020,2026-01-05 11:52:34,U0010,Login,"{""status"": ""success"", ""resource_id"": ""RES316""}",192.168.1.81
LOG000021,2025-12-29 07:13:34,U0010,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES885""}",192.168.1.28
LOG000022,2026-01-05 19:59:34,U0010,Export Report,"{""status"": ""success"", ""resource_id"": ""RES851""}",192.168.1.40
LOG000023,2025-12-22 19:34:34,U0005,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES725""}",192.168.1.169
LOG000024,2026-02-26 18:10:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES847""}",192.168.1.204
LOG000025,2026-01-16 16:41:34,U0003,Update User,"{""status"": ""success"", ""resource_id"": ""RES769""}",192.168.1.152
LOG000026,2026-01-13 03:56:34,U0010,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES486""}",192.168.1.240
LOG000027,2026-02-26 02:46:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES385""}",192.168.1.169
LOG000028,2026-02-17 02:43:34,U0006,Logout,"{""status"": ""success"", ""resource_id"": ""RES352""}",192.168.1.149
LOG000029,2026-02-10 07:12:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES781""}",192.168.1.233
LOG000030,2025-12-12 07:50:34,U0002,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES827""}",192.168.1.126
LOG000031,2026-03-04 16:52:34,U0003,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES716""}",192.168.1.136
LOG000032,2025-12-24 08:46:34,U0005,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES331""}",192.168.1.67
LOG000033,2026-02-17 06:10:34,U0004,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES372""}",192.168.1.169
LOG000034,2026-01-16 04:22:34,U0006,Export Report,"{""status"": ""success"", ""resource_id"": ""RES426""}",192.168.1.79
LOG000035,2026-02-12 06:49:34,U0008,Add User,"{""status"": ""success"", ""resource_id"": ""RES437""}",192.168.1.254
LOG000036,2025-12-14 01:05:34,U0008,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES154""}",192.168.1.133
LOG000037,2026-02-13 00:02:34,U0007,Update User,"{""status"": ""success"", ""resource_id"": ""RES591""}",192.168.1.166
LOG000038,2026-01-25 20:38:34,U0002,Add User,"{""status"": ""success"", ""resource_id"": ""RES978""}",192.168.1.166
LOG000039,2025-12-24 16:16:34,U0002,Export Report,"{""status"": ""success"", ""resource_id"": ""RES101""}",192.168.1.42
LOG000040,2026-02-02 02:47:34,U0004,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES712""}",192.168.1.57
LOG000041,2026-03-07 13:06:34,U0006,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES164""}",192.168.1.147
LOG000042,2025-12-20 19:47:34,U0008,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES687""}",192.168.1.46
LOG000043,2026-01-28 10:39:34,U0004,Login,"{""status"": ""success"", ""resource_id"": ""RES875""}",192.168.1.49
LOG000044,2026-02-22 10:45:34,U0002,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES831""}",192.168.1.135
LOG000045,2026-01-20 19:21:34,U0003,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES181""}",192.168.1.64
LOG000046,2026-01-23 13:20:34,U0010,Logout,"{""status"": ""success"", ""resource_id"": ""RES220""}",192.168.1.226
LOG000047,2026-02-15 10:37:34,U0005,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES577""}",192.168.1.160
LOG000048,2026-01-30 12:53:34,U0005,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES634""}",192.168.1.201
LOG000049,2026-02-24 21:27:34,U0002,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES109""}",192.168.1.181
LOG000050,2026-02-14 23:50:34,U0009,Logout,"{""status"": ""success"", ""resource_id"": ""RES462""}",192.168.1.84
LOG000051,2025-12-14 23:16:34,U0005,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES552""}",192.168.1.90
LOG000052,2026-01-04 07:59:34,U0005,Export Report,"{""status"": ""success"", ""resource_id"": ""RES375""}",192.168.1.8
LOG000053,2026-02-03 02:06:34,U0001,Logout,"{""status"": ""success"", ""resource_id"": ""RES264""}",192.168.1.168
LOG000054,2026-03-04 18:39:34,U0004,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES147""}",192.168.1.58
LOG000055,2026-02-27 21:01:34,U0009,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES906""}",192.168.1.73
LOG000056,2026-01-25 22:03:34,U0007,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES799""}",192.168.1.204
LOG000057,2026-01-21 05:23:34,U0005,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES858""}",192.168.1.136
LOG000058,2025-12-09 21:39:34,U0005,Logout,"{""status"": ""success"", ""resource_id"": ""RES451""}",192.168.1.237
LOG000059,2026-02-18 00:53:34,U0001,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES207""}",192.168.1.138
LOG000060,2026-03-05 13:20:34,U0004,Logout,"{""status"": ""success"", ""resource_id"": ""RES725""}",192.168.1.113
LOG000061,2026-01-08 01:15:34,U0009,Logout,"{""status"": ""success"", ""resource_id"": ""RES492""}",192.168.1.104
LOG000062,2026-02-19 04:06:34,U0009,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES872""}",192.168.1.17
LOG000063,2025-12-11 19:35:34,U0006,Logout,"{""status"": ""success"", ""resource_id"": ""RES619""}",192.168.1.145
LOG000064,2026-02-28 15:32:34,U0001,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES621""}",192.168.1.52
LOG000065,2026-01-25 17:35:34,U0007,Logout,"{""status"": ""success"", ""resource_id"": ""RES641""}",192.168.1.74
LOG000066,2026-01-07 17:01:34,U0006,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES531""}",192.168.1.119
LOG000067,2026-02-15 09:06:34,U0002,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES654""}",192.168.1.168
LOG000068,2026-01-23 17:52:34,U0004,Logout,"{""status"": ""success"", ""resource_id"": ""RES754""}",192.168.1.221
LOG000069,2026-02-18 14:10:34,U0005,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES923""}",192.168.1.192
LOG000070,2026-02-18 20:52:34,U0005,Export Report,"{""status"": ""success"", ""resource_id"": ""RES595""}",192.168.1.181
LOG000071,2026-02-28 16:35:34,U0006,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES677""}",192.168.1.197
LOG000072,2026-02-15 01:44:34,U0009,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES768""}",192.168.1.207
LOG000073,2025-12-21 18:48:34,U0007,Update User,"{""status"": ""success"", ""resource_id"": ""RES684""}",192.168.1.180
LOG000074,2025-12-28 19:02:34,U0004,Login,"{""status"": ""success"", ""resource_id"": ""RES273""}",192.168.1.109
LOG000075,2026-02-27 02:01:34,U0008,Add User,"{""status"": ""success"", ""resource_id"": ""RES184""}",192.168.1.74
LOG000076,2026-02-27 19:39:34,U0006,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES963""}",192.168.1.215
LOG000077,2026-02-19 01:22:34,U0010,Add User,"{""status"": ""success"", ""resource_id"": ""RES451""}",192.168.1.203
LOG000078,2026-03-07 07:26:34,U0001,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES124""}",192.168.1.212
LOG000079,2025-12-19 23:21:34,U0002,Export Report,"{""status"": ""success"", ""resource_id"": ""RES337""}",192.168.1.251
LOG000080,2025-12-18 01:05:34,U0006,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES475""}",192.168.1.98
LOG000081,2026-01-01 14:37:34,U0001,Export Report,"{""status"": ""success"", ""resource_id"": ""RES444""}",192.168.1.214
LOG000082,2026-02-11 16:36:34,U0003,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES749""}",192.168.1.149
LOG000083,2025-12-22 10:12:34,U0003,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES571""}",192.168.1.139
LOG000084,2026-02-26 07:28:34,U0006,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES678""}",192.168.1.251
LOG000085,2026-02-16 07:33:34,U0002,Login,"{""status"": ""success"", ""resource_id"": ""RES667""}",192.168.1.173
LOG000086,2025-12-23 02:35:34,U0001,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES761""}",192.168.1.254
LOG000087,2026-02-12 21:59:34,U0006,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES522""}",192.168.1.50
LOG000088,2026-01-28 12:00:34,U0004,Login,"{""status"": ""success"", ""resource_id"": ""RES651""}",192.168.1.70
LOG000089,2026-01-31 17:44:34,U0003,Export Report,"{""status"": ""success"", ""resource_id"": ""RES507""}",192.168.1.32
LOG000090,2026-02-27 12:20:34,U0007,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES678""}",192.168.1.178
LOG000091,2025-12-11 21:12:34,U0006,Add User,"{""status"": ""success"", ""resource_id"": ""RES766""}",192.168.1.195
LOG000092,2026-01-17 17:47:34,U0008,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES340""}",192.168.1.92
LOG000093,2025-12-21 19:46:34,U0007,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES451""}",192.168.1.59
LOG000094,2026-02-12 15:15:34,U0001,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES146""}",192.168.1.76
LOG000095,2026-01-04 22:19:34,U0001,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES256""}",192.168.1.63
LOG000096,2026-02-05 02:46:34,U0007,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES741""}",192.168.1.90
LOG000097,2026-01-11 04:36:34,U0001,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES852""}",192.168.1.246
LOG000098,2026-03-03 21:49:34,U0005,Update Claim,"{""status"": ""success"", ""resource_id"": ""RES496""}",192.168.1.106
LOG000099,2026-01-04 12:05:34,U0008,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES801""}",192.168.1.55
LOG000100,2026-03-08 21:49:34,U0010,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES490""}",192.168.1.17
LOG000101,2025-12-22 18:40:34,U0002,Login,"{""status"": ""success"", ""resource_id"": ""RES974""}",192.168.1.85
LOG000102,2026-02-13 10:34:34,U0006,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES401""}",192.168.1.96
LOG000103,2026-02-23 00:43:34,U0009,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES318""}",192.168.1.157
LOG000104,2025-12-22 09:11:34,U0009,Update User,"{""status"": ""success"", ""resource_id"": ""RES852""}",192.168.1.180
LOG000105,2026-01-24 19:38:34,U0010,Add User,"{""status"": ""success"", ""resource_id"": ""RES806""}",192.168.1.75
LOG000106,2026-03-07 15:36:34,U0008,Login,"{""status"": ""success"", ""resource_id"": ""RES429""}",192.168.1.252
LOG000107,2026-02-06 17:48:34,U0010,Update User,"{""status"": ""success"", ""resource_id"": ""RES943""}",192.168.1.230
LOG000108,2026-01-14 15:13:34,U0006,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES469""}",192.168.1.14
LOG000109,2025-12-09 12:16:34,U0002,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES398""}",192.168.1.202
LOG000110,2026-01-18 09:25:34,U0009,Logout,"{""status"": ""success"", ""resource_id"": ""RES943""}",192.168.1.135
LOG000111,2026-01-29 18:31:34,U0002,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES582""}",192.168.1.4
LOG000112,2025-12-26 06:24:34,U0008,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES730""}",192.168.1.253
LOG000113,2025-12-20 15:13:34,U0006,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES736""}",192.168.1.68
LOG000114,2025-12-16 05:28:34,U0009,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES100""}",192.168.1.46
LOG000115,2026-01-02 11:06:34,U0008,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES734""}",192.168.1.51
LOG000116,2025-12-24 01:44:34,U0008,Update User,"{""status"": ""success"", ""resource_id"": ""RES141""}",192.168.1.168
LOG000117,2026-01-20 11:30:34,U0003,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES830""}",192.168.1.249
LOG000118,2026-02-01 14:57:34,U0001,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES887""}",192.168.1.94
LOG000119,2026-02-21 03:43:34,U0002,Logout,"{""status"": ""success"", ""resource_id"": ""RES427""}",192.168.1.164
LOG000120,2026-01-25 05:24:34,U0009,Logout,"{""status"": ""success"", ""resource_id"": ""RES591""}",192.168.1.58
LOG000121,2026-02-28 14:13:34,U0004,Add User,"{""status"": ""success"", ""resource_id"": ""RES183""}",192.168.1.136
LOG000122,2025-12-22 11:33:34,U0003,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES516""}",192.168.1.54
LOG000123,2026-02-24 17:49:34,U0006,Export Report,"{""status"": ""success"", ""resource_id"": ""RES930""}",192.168.1.169
LOG000124,2026-01-17 10:03:34,U0010,Add User,"{""status"": ""success"", ""resource_id"": ""RES495""}",192.168.1.142
LOG000125,2026-01-14 21:41:34,U0004,Update User,"{""status"": ""success"", ""resource_id"": ""RES823""}",192.168.1.82
LOG000126,2025-12-09 01:53:34,U0008,Logout,"{""status"": ""success"", ""resource_id"": ""RES755""}",192.168.1.190
LOG000127,2026-02-18 01:45:34,U0004,Logout,"{""status"": ""success"", ""resource_id"": ""RES828""}",192.168.1.100
LOG000128,2026-01-18 04:13:34,U0010,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES671""}",192.168.1.56
LOG000129,2026-02-04 16:48:34,U0006,Login,"{""status"": ""success"", ""resource_id"": ""RES873""}",192.168.1.120
LOG000130,2026-02-04 11:44:34,U0008,Export Report,"{""status"": ""success"", ""resource_id"": ""RES817""}",192.168.1.162
LOG000131,2025-12-16 06:54:34,U0004,Login,"{""status"": ""success"", ""resource_id"": ""RES835""}",192.168.1.151
LOG000132,2026-02-27 09:36:34,U0007,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES525""}",192.168.1.143
LOG000133,2025-12-27 08:53:34,U0005,Logout,"{""status"": ""success"", ""resource_id"": ""RES186""}",192.168.1.115
LOG000134,2025-12-28 14:35:34,U0006,Export Report,"{""status"": ""success"", ""resource_id"": ""RES296""}",192.168.1.193
LOG000135,2026-01-22 12:57:34,U0003,Logout,"{""status"": ""success"", ""resource_id"": ""RES133""}",192.168.1.45
LOG000136,2025-12-26 22:16:34,U0008,Export Report,"{""status"": ""success"", ""resource_id"": ""RES532""}",192.168.1.124
LOG000137,2026-02-01 09:01:34,U0001,Login,"{""status"": ""success"", ""resource_id"": ""RES457""}",192.168.1.106
LOG000138,2026-02-09 23:06:34,U0003,Logout,"{""status"": ""success"", ""resource_id"": ""RES346""}",192.168.1.125
LOG000139,2026-01-05 11:06:34,U0006,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES487""}",192.168.1.70
LOG000140,2026-02-26 19:08:34,U0008,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES905""}",192.168.1.150
LOG000141,2026-02-13 10:51:34,U0006,Export Report,"{""status"": ""success"", ""resource_id"": ""RES474""}",192.168.1.86
LOG000142,2026-01-06 02:09:34,U0009,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES413""}",192.168.1.124
LOG000143,2026-01-03 11:57:34,U0010,Update User,"{""status"": ""success"", ""resource_id"": ""RES928""}",192.168.1.222
LOG000144,2026-03-07 02:17:34,U0001,Logout,"{""status"": ""success"", ""resource_id"": ""RES223""}",192.168.1.42
LOG000145,2025-12-26 19:55:34,U0003,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES960""}",192.168.1.20
LOG000146,2026-01-27 23:49:34,U0005,Add Inventory,"{""status"": ""success"", ""resource_id"": ""RES603""}",192.168.1.106
LOG000147,2026-01-20 21:39:34,U0001,Export Report,"{""status"": ""success"", ""resource_id"": ""RES827""}",192.168.1.8
LOG000148,2026-01-24 09:26:34,U0010,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES676""}",192.168.1.5
LOG000149,2026-03-01 10:24:34,U0005,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES652""}",192.168.1.24
LOG000150,2026-01-13 23:26:34,U0010,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES548""}",192.168.1.140
LOG000151,2026-01-30 19:50:34,U0001,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES134""}",192.168.1.204
LOG000152,2025-12-25 04:38:34,U0009,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES104""}",192.168.1.40
LOG000153,2026-01-03 03:51:34,U0001,Export Report,"{""status"": ""success"", ""resource_id"": ""RES902""}",192.168.1.123
LOG000154,2026-01-19 19:33:34,U0003,Approve Claim,"{""status"": ""success"", ""resource_id"": ""RES620""}",192.168.1.157
LOG000155,2025-12-16 02:57:34,U0007,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES575""}",192.168.1.94
LOG000156,2026-02-14 12:30:34,U0006,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES961""}",192.168.1.194
LOG000157,2026-02-05 18:32:34,U0009,Update User,"{""status"": ""success"", ""resource_id"": ""RES622""}",192.168.1.5
LOG000158,2026-02-17 07:02:34,U0009,Update Inventory,"{""status"": ""success"", ""resource_id"": ""RES371""}",192.168.1.68
LOG000159,2026-02-26 14:59:34,U0007,Logout,"{""status"": ""success"", ""resource_id"": ""RES420""}",192.168.1.160
LOG000160,2026-02-07 21:56:34,U0009,Create Claim,"{""status"": ""success"", ""resource_id"": ""RES712""}",192.168.1.130
LOG000161,2026-01-08 04:05:34,U0001,Export Report,"{""status"": ""success"", ""resource_id"": ""RES127""}",192.168.1.140
LOG000162,2026-01-09 17:26:34,U0004,Add User,"{""status"": ""success"", ""resource_id"": ""RES193""}",192.168.1.163
LOG000163,2026-01-14 11:02:34,U0004,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES277""}",192.168.1.171
LOG000164,2026-03-02 01:13:34,U0003,Export Report,"{""status"": ""success"", ""resource_id"": ""RES956""}",192.168.1.17
LOG000165,2026-01-14 21:38:34,U0001,Delete Claim,"{""status"": ""success"", ""resource_id"": ""RES691""}",192.168.1.231
LOG000166,2026-02-14 22:42:34,U0004,Reject Claim,"{""status"": ""success"", ""resource_id"": ""RES377""}",192.168.1.26
LOG000167,2026-01-20 22:05:34,U0006,Generate Letter,"{""status"": ""success"", ""resource_id"": ""RES387""}",192.168.1.89
